"Part";"Value";"Device";"Package";"Description";"CREATED_BY";"DESCRIPTION";"DIELECTRIC";"DIGIKEY_PARTNO";"HEIGHT";"HOUSEPART";"MANUFACTURER";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"POPULATE";"PROD_ID";"TOLERANCE";"URL";"VOLTAGE";"WATTAGE";
"C1";"120pF";"CAPACITOR_NP_0805";"C0805";"Library:  MF_Passives";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";
"C2";"22pF";"CAPACITOR_NP_0805";"C0805";"Library:  MF_Passives";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";
"C4";"22pF";"CAPACITOR_NP_0805";"C0805";"Library:  MF_Passives";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";
"C5";"22pF";"CAPACITOR_NP_0805";"C0805";"Library:  MF_Passives";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";
"C6";"100nF";"CAPACITOR_NP_0805";"C0805";"Library:  MF_Passives";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";
"C7";"100nF";"CAPACITOR_NP_0805";"C0805";"Library:  MF_Passives";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";
"C8";"100nF";"CAPACITOR_NP_0805";"C0805";"Library:  MF_Passives";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";
"C10";"1nF";"CAPACITOR_NP_0805";"C0805";"Library:  MF_Passives";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";
"C11";"47uF";"UWR0J470MCL1GB";"CAPAE430X550N";"Aluminum Electrolytic Capacitors - SMD";"";"Aluminum Electrolytic Capacitors - SMD";"";"";"5.5mm";"";"";"Nichicon";"UWR0J470MCL1GB";"";"647-UWR0J470MCL1GB";"https://www.mouser.com/Search/Refine.aspx?Keyword=647-UWR0J470MCL1GB";"";"";"";"";"";"";"";"";"";"";
"C12";"220pF";"CAPACITOR_NP_0805";"C0805";"Library:  MF_Passives";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";
"J1";"";"CONN_04JST-PTH-VERT";"JST-4-PTH-VERT";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CONN-13251";"";"";"";"";
"J2";"10118192-0002LF";"10118192-0002LF";"10118192-0002LF";"CONN RCPT USB2.0 MICRO B SMD R/A";"PCBLayout.com";"";"";"609-5379-2-ND";"";"";"Amphenol ICC (FCI)";"";"";"";"";"";"10118192-0002LF";"";"";"";"";"";"";"";"";"";
"JP1";"";"PINHD-2X20";"2X20";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R1";"100k";"RESISTOR_0805";"R0805";"Library:  MF_Passives";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";
"R2";"100k";"RESISTOR_0805";"R0805";"Library:  MF_Passives";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";
"R3";"10k";"RESISTOR_0805";"R0805";"Library:  MF_Passives";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";
"R4";"10k";"RESISTOR_0805";"R0805";"Library:  MF_Passives";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";
"R5";"10k";"RESISTOR_0805";"R0805";"Library:  MF_Passives";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";
"R6";"10k";"RESISTOR_0805";"R0805";"Library:  MF_Passives";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";
"R8";"1.5k";"RESISTOR_0805";"R0805";"Library:  MF_Passives";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";
"R9";"510";"RESISTOR_0805";"R0805";"Library:  MF_Passives";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";
"R10";"33";"RESISTOR_0805";"R0805";"Library:  MF_Passives";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";
"R11";"10";"RESISTOR_0805";"R0805";"Library:  MF_Passives";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";
"R12";"33";"RESISTOR_0805";"R0805";"Library:  MF_Passives";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";
"R13";"10";"RESISTOR_0805";"R0805";"Library:  MF_Passives";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";
"R14";"510k";"RESISTOR_0805";"R0805";"Library:  MF_Passives";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";
"R15";"33k";"RESISTOR_0805";"R0805";"Library:  MF_Passives";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";
"R16";"20k";"RESISTOR_0805";"R0805";"Library:  MF_Passives";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";
"U1";"GL811E";"GL811E";"LQFP-48";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U2";"REG1117";"REG1117";"SOT223";"800mA and 1A Low Dropout (LDO) Positive Regulator";"";"";"";"";"";"";"";"";"";"";"";"";"REG1117";"1097566";"14P6981";"49";"";"";"";"";"";"";
"Y1";"445C33C12M00000";"445C33C12M00000";"445C33C12M00000";"Crystals 12MHz +/-30ppm 16pF -20C +70C";"";"Crystals 12MHz +/-30ppm 16pF -20C +70C";"";"";"1.35mm";"";"";"CTS";"445C33C12M00000";"";"774-445C33C12M00000";"https://www.mouser.com/Search/Refine.aspx?Keyword=774-445C33C12M00000";"";"";"";"";"";"";"";"";"";"";
